id,date,cumulative
1,"March 01, 2020",2
2,"March 02, 2020",4
3,"March 03, 2020",6
4,"March 04, 2020",11
5,"March 05, 2020",18
6,"March 06, 2020",28
7,"March 07, 2020",59
8,"March 08, 2020",73
9,"March 09, 2020",97
10,"March 10, 2020",138
11,"March 11, 2020",168
12,"March 12, 2020",215
13,"March 13, 2020",256
14,"March 14, 2020",352
15,"March 15, 2020",451
16,"March 16, 2020",559
17,"March 17, 2020",660
18,"March 18, 2020",765
19,"March 19, 2020",955
20,"March 20, 2020",1105
21,"March 21, 2020",1241
22,"March 22, 2020",1404
23,"March 23, 2020",1556
24,"March 24, 2020",1695
25,"March 25, 2020",1781
26,"March 26, 2020",1877
27,"March 27, 2020",1916
28,"March 28, 2020",1933
29,"March 29, 2020",1938
30,"March 30, 2020",1941
31,"March 31, 2020",1942
